agent,refactoring_type,count,agent_total,share_pct
Claude_Code,Add Method Annotation,25233,60914,41.423974784121874
Claude_Code,Add Parameter Annotation,16755,60914,27.505992054371735
Claude_Code,Modify Method Annotation,13343,60914,21.90465246084644
Claude_Code,Add Class Annotation,2281,60914,3.7446235676527566
Claude_Code,Modify Class Annotation,1375,60914,2.257280756476344
Claude_Code,Remove Method Annotation,654,60914,1.0736448107167482
Claude_Code,Change Variable Type,377,60914,0.6189053419575139
Claude_Code,Change Return Type,269,60914,0.44160619890337194
Claude_Code,Remove Parameter Annotation,128,60914,0.2101323176937978
Claude_Code,Remove Thrown Exception Type,109,60914,0.1789408017861247
Claude_Code,Add Method Modifier,100,60914,0.16416587319827955
Claude_Code,Add Parameter,90,60914,0.1477492858784516
Claude_Code,Reorder Parameter,50,60914,0.08208293659913977
Claude_Code,Modify Parameter Annotation,48,60914,0.07879961913517418
Claude_Code,Rename Method,37,60914,0.06074137308336343
Claude_Code,Extract Variable,26,60914,0.04268312703155268
Claude_Code,Remove Parameter,11,60914,0.01805824605181075
Claude_Code,Rename Variable,9,60914,0.014774928587845158
Claude_Code,Inline Variable,5,60914,0.008208293659913978
Claude_Code,Add Variable Modifier,3,60914,0.004924976195948386
Claude_Code,Add Parameter Modifier,2,60914,0.0032833174639655908
Claude_Code,Change Attribute Type,2,60914,0.0032833174639655908
Claude_Code,Extract Method,2,60914,0.0032833174639655908
Claude_Code,Add Attribute Modifier,1,60914,0.0016416587319827954
Claude_Code,Move Source Folder,1,60914,0.0016416587319827954
Claude_Code,Remove Attribute Modifier,1,60914,0.0016416587319827954
Claude_Code,Remove Method Modifier,1,60914,0.0016416587319827954
Claude_Code,Rename Attribute,1,60914,0.0016416587319827954
Copilot,Remove Parameter,1432,15806,9.05985068961154
Copilot,Move Class,1375,15806,8.699228141212197
Copilot,Remove Method Annotation,1234,15806,7.8071618372769835
Copilot,Modify Class Annotation,1171,15806,7.408579020625079
Copilot,Change Variable Type,1079,15806,6.826521574085791
Copilot,Add Method Annotation,862,15806,5.45362520561812
Copilot,Rename Variable,774,15806,4.896874604580539
Copilot,Inline Variable,668,15806,4.226243198785271
Copilot,Add Attribute Annotation,599,15806,3.7897001138808046
Copilot,Move Attribute,584,15806,3.694799443249399
Copilot,Remove Attribute Annotation,573,15806,3.6252056181197014
Copilot,Change Return Type,551,15806,3.486017967860306
Copilot,Extract Variable,494,15806,3.1253954194609643
Copilot,Add Parameter,480,15806,3.0368214602049854
Copilot,Rename Attribute,473,15806,2.992534480576996
Copilot,Move Method,405,15806,2.5623181070479566
Copilot,Change Attribute Type,287,15806,1.815766164747564
Copilot,Rename Parameter,282,15806,1.7841326078704292
Copilot,Rename Method,276,15806,1.7461723396178666
Copilot,Change Parameter Type,270,15806,1.7082120713653042
Copilot,Extract Method,212,15806,1.3412628115905352
Copilot,Remove Thrown Exception Type,192,15806,1.2147285840819941
Copilot,Change Method Access Modifier,180,15806,1.1388080475768696
Copilot,Modify Method Annotation,159,15806,1.0059471086929015
Copilot,Remove Attribute Modifier,159,15806,1.0059471086929015
Copilot,Move And Rename Method,128,15806,0.8098190560546628
Copilot,Rename Class,122,15806,0.7718587878021005
Copilot,Add Class Annotation,98,15806,0.6200177147918512
Copilot,Remove Class Annotation,64,15806,0.4049095280273314
Copilot,Add Thrown Exception Type,38,15806,0.240415032266228
Copilot,Move And Rename Class,37,15806,0.23408832089080095
Copilot,Extract And Move Method,34,15806,0.2151081867645198
Copilot,Extract Class,30,15806,0.1898013412628116
Copilot,Add Attribute Modifier,28,15806,0.1771479185119575
Copilot,Change Attribute Access Modifier,27,15806,0.17082120713653043
Copilot,Parameterize Variable,27,15806,0.17082120713653043
Copilot,Pull Up Method,26,15806,0.1644944957611034
Copilot,Encapsulate Attribute,25,15806,0.15816778438567633
Copilot,Inline Method,25,15806,0.15816778438567633
Copilot,Localize Parameter,22,15806,0.13918765025939517
Copilot,Remove Variable Modifier,22,15806,0.13918765025939517
Copilot,Replace Variable With Attribute,22,15806,0.13918765025939517
Copilot,Move Code,21,15806,0.1328609388839681
Copilot,Pull Up Attribute,21,15806,0.1328609388839681
Copilot,Move Source Folder,17,15806,0.1075540933822599
Copilot,Merge Parameter,16,15806,0.10122738200683284
Copilot,Add Method Modifier,15,15806,0.0949006706314058
Copilot,Remove Parameter Annotation,14,15806,0.08857395925597875
Copilot,Change Thrown Exception Type,13,15806,0.0822472478805517
Copilot,Add Variable Modifier,12,15806,0.07592053650512463
Copilot,Add Class Modifier,11,15806,0.06959382512969758
Copilot,Extract Attribute,9,15806,0.05694040237884348
Copilot,Remove Method Modifier,9,15806,0.05694040237884348
Copilot,Change Class Access Modifier,8,15806,0.05061369100341642
Copilot,Collapse Hierarchy,8,15806,0.05061369100341642
Copilot,Move And Inline Method,8,15806,0.05061369100341642
Copilot,Merge Class,7,15806,0.04428697962798937
Copilot,Split Class,7,15806,0.04428697962798937
Copilot,Replace Generic With Diamond,6,15806,0.03796026825256232
Copilot,Split Conditional,6,15806,0.03796026825256232
Copilot,Change Type Declaration Kind,5,15806,0.03163355687713527
Copilot,Extract Superclass,4,15806,0.02530684550170821
Copilot,Parameterize Attribute,4,15806,0.02530684550170821
Copilot,Split Attribute,4,15806,0.02530684550170821
Copilot,Split Variable,4,15806,0.02530684550170821
Copilot,Invert Condition,3,15806,0.01898013412628116
Copilot,Move Package,3,15806,0.01898013412628116
Copilot,Replace Anonymous With Class,3,15806,0.01898013412628116
Copilot,Split Parameter,3,15806,0.01898013412628116
